label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, False, False, True, True]","[1199, 2701, 2278, 448, 2284]",0,0.7000000000000001,0.6,1.0
lung opacity,"[True, True, True, True, True]","[3168, 175, 1213, 3064, 1230]",1,1.0,1.0,1.0
lung opacity,"[False, False, True, False, True]","[3166, 1158, 405, 1003, 1918]",2,0.3666666666666667,0.4,0.3333333333333333
lung opacity,"[True, True, True, True, True]","[1992, 270, 2826, 2956, 1457]",3,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1829, 2170, 1326, 1009, 2084]",4,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1212, 1556, 2792, 506, 1943]",5,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2419, 1561, 745, 2480, 29]",6,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[826, 2081, 2981, 2526, 205]",8,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[1913, 18, 2789, 1450, 1041]",9,0.8041666666666667,0.8,1.0
lung opacity,"[False, True, True, True, False]","[2125, 3175, 1667, 740, 1755]",11,0.6388888888888888,0.6,0.5
lung opacity,"[True, True, False, True, True]","[1687, 2155, 2209, 744, 1843]",12,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1501, 3002, 3185, 52, 794]",13,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2898, 1308, 972, 1247, 1557]",14,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[2441, 2802, 2235, 3105, 2959]",16,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2647, 3119, 2217, 3064, 2523]",17,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[445, 1691, 1806, 1675, 2423]",19,1.0,1.0,1.0
lung opacity,"[True, True, True, False, False]","[294, 1042, 1624, 1229, 2548]",20,1.0,0.6,1.0
lung opacity,"[True, True, True, True, True]","[2957, 984, 1638, 2338, 1781]",21,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[1583, 398, 2275, 1834, 2480]",22,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[619, 2150, 2565, 1858, 1086]",23,1.0,1.0,1.0
lung opacity,"[False, True, False, True, True]","[747, 522, 1991, 2016, 1163]",24,0.5333333333333333,0.6,0.5
lung opacity,"[True, True, True, True, True]","[1734, 2938, 499, 1613, 2033]",26,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2659, 422, 1172, 2642, 165]",27,1.0,1.0,1.0
