label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, False, False]","[1199, 2701, 2278]",0,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[3168, 175, 1213]",1,1.0,1.0,1.0
lung opacity,"[False, False, True]","[3166, 1158, 405]",2,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[1992, 270, 2826]",3,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1829, 2170, 1326]",4,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1212, 1556, 2792]",5,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2419, 1561, 745]",6,1.0,1.0,1.0
lung opacity,"[True, True, True]","[826, 2081, 2981]",8,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1913, 18, 2789]",9,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, True, True]","[2125, 3175, 1667]",11,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, False]","[1687, 2155, 2209]",12,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1501, 3002, 3185]",13,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2898, 1308, 972]",14,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2441, 2802, 2235]",16,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2647, 3119, 2217]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[445, 1691, 1806]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[294, 1042, 1624]",20,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2957, 984, 1638]",21,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1583, 398, 2275]",22,1.0,1.0,1.0
lung opacity,"[True, True, True]","[619, 2150, 2565]",23,1.0,1.0,1.0
lung opacity,"[False, True, False]","[747, 522, 1991]",24,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[1734, 2938, 499]",26,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2659, 422, 1172]",27,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2088, 563, 3118]",28,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1331, 1837, 975]",29,1.0,1.0,1.0
lung opacity,"[True, True, False]","[325, 2618, 664]",30,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[78, 163, 2819]",31,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1852, 1634, 2583]",32,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1022, 1495, 2688]",33,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2978, 2953, 2999]",35,1.0,1.0,1.0
lung opacity,"[True, True, True]","[441, 961, 2839]",36,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2471, 688, 40]",37,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2510, 1680, 427]",38,1.0,1.0,1.0
lung opacity,"[True, True, True]","[368, 2239, 547]",39,1.0,1.0,1.0
lung opacity,"[True, True, True]","[156, 2531, 626]",40,1.0,1.0,1.0
lung opacity,"[True, False, True]","[3120, 1177, 323]",41,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1743, 1247, 1308]",42,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2103, 2417, 283]",43,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1950, 2424, 540]",45,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, False, False]","[2010, 788, 469]",46,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[599, 2140, 487]",48,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1405, 2955, 2222]",51,1.0,1.0,1.0
lung opacity,"[True, False, True]","[855, 977, 2601]",52,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2863, 1958, 641]",53,1.0,1.0,1.0
lung opacity,"[True, False, False]","[1351, 503, 2147]",54,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[366, 2231, 2759]",55,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1625, 2774, 514]",56,1.0,1.0,1.0
lung opacity,"[True, True, True]","[694, 826, 2542]",57,1.0,1.0,1.0
lung opacity,"[True, True, True]","[11, 2061, 622]",59,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1229, 624, 1997]",60,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[965, 2943, 1829]",61,1.0,1.0,1.0
lung opacity,"[True, False, True]","[2053, 203, 2423]",62,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, False, True]","[803, 977, 2583]",64,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, False, False]","[1476, 2867, 447]",65,1.0,0.3333333333333333,1.0
lung opacity,"[True, False, True]","[1900, 2644, 602]",66,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1835, 1296, 972]",67,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1583, 2872, 350]",68,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1081, 1399, 3134]",69,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1415, 2071, 1298]",70,1.0,1.0,1.0
lung opacity,"[False, True, False]","[134, 2525, 1114]",71,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[520, 1347, 2944]",72,1.0,1.0,1.0
lung opacity,"[False, False, True]","[773, 2027, 1898]",73,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[702, 2680, 1858]",75,1.0,1.0,1.0
lung opacity,"[True, False, True]","[71, 1385, 2915]",77,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, True, True]","[2022, 31, 1829]",78,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[False, True, True]","[686, 1810, 738]",79,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, False]","[1559, 1269, 1229]",80,1.0,0.6666666666666666,1.0
lung opacity,"[False, False, True]","[2517, 328, 1702]",81,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[2818, 708, 1603]",82,1.0,1.0,1.0
lung opacity,"[True, True, True]","[475, 1543, 2088]",83,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1141, 364, 1719]",85,1.0,1.0,1.0
lung opacity,"[False, True, True]","[570, 435, 1206]",86,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[2520, 2996, 3184]",87,1.0,1.0,1.0
lung opacity,"[True, True, True]","[513, 2996, 2582]",88,1.0,1.0,1.0
lung opacity,"[True, True, False]","[826, 2395, 607]",89,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[680, 2082, 3012]",90,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2779, 2263, 1172]",91,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3176, 1326, 1742]",93,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1937, 1732, 2689]",94,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1658, 1620, 1593]",95,1.0,1.0,1.0
lung opacity,"[True, True, True]","[471, 3027, 1063]",96,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1829, 2801, 896]",97,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1104, 1844, 1422]",98,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1270, 845, 580]",99,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1905, 1354, 1764]",100,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, False, False]","[2580, 491, 2903]",101,0.0,0.0,0.0
lung opacity,"[True, True, True]","[1902, 2643, 1121]",105,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2206, 1174, 166]",106,1.0,1.0,1.0
lung opacity,"[True, True, True]","[622, 866, 535]",108,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1785, 3127, 1778]",109,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, False]","[1829, 1701, 2240]",110,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, False]","[1791, 2331, 18]",112,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2713, 2890, 2736]",113,1.0,1.0,1.0
lung opacity,"[True, True, True]","[680, 3054, 978]",115,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2901, 291, 435]",117,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[False, False, True]","[1229, 977, 1439]",118,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[706, 577, 1338]",119,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2110, 471, 1935]",121,1.0,1.0,1.0
lung opacity,"[True, False, True]","[3143, 173, 3144]",122,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[639, 2061, 861]",123,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1693, 3059, 3155]",124,1.0,1.0,1.0
lung opacity,"[True, False, False]","[1286, 104, 2615]",125,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[2416, 1790, 3178]",126,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1894, 2188, 2661]",127,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2735, 149, 1353]",129,1.0,1.0,1.0
lung opacity,"[False, False, True]","[664, 2365, 2491]",130,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[96, 2116, 1161]",131,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3134, 2242, 1192]",137,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1827, 813, 2116]",138,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[False, True, True]","[2942, 2850, 734]",139,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1641, 2974, 978]",140,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3185, 2383, 2584]",141,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2890, 474, 2689]",142,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1474, 2262, 2612]",143,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1418, 3177, 2424]",144,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, False, False]","[2063, 796, 2548]",146,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[1026, 1334, 276]",148,1.0,1.0,1.0
lung opacity,"[True, True, True]","[707, 2009, 1772]",149,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2154, 2951, 1308]",150,1.0,1.0,1.0
lung opacity,"[True, False, True]","[577, 842, 313]",153,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, False, True]","[1450, 2496, 3064]",155,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[40, 626, 3056]",156,1.0,1.0,1.0
