label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True]","[2536, 86, 1633]",0,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3168, 1904, 2513]",1,1.0,1.0,1.0
lung opacity,"[False, True, False]","[3166, 949, 908]",2,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[2133, 1838, 1327]",3,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2303, 1476, 1670]",4,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1626, 2404, 2232]",5,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1620, 1347, 615]",6,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2651, 2127, 2008]",8,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1907, 1334, 1321]",9,1.0,1.0,1.0
lung opacity,"[False, True, False]","[2701, 3186, 2869]",11,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[2257, 2669, 1749]",12,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1501, 2661, 540]",13,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2989, 42, 383]",14,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2725, 62, 361]",16,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2647, 1074, 2957]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1868, 2057, 211]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2536, 0, 1073]",20,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1733, 2147, 2781]",21,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2861, 1478, 118]",22,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1897, 92, 2294]",23,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[762, 831, 2694]",24,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1948, 1699, 1968]",26,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2235, 1442, 2712]",27,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1820, 1416, 520]",28,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1742, 2811, 2590]",29,1.0,1.0,1.0
lung opacity,"[True, False, True]","[678, 1177, 3046]",30,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, False, True]","[847, 825, 3046]",31,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[337, 778, 2626]",32,1.0,1.0,1.0
lung opacity,"[True, True, True]","[974, 1714, 875]",33,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2421, 1745, 692]",35,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1272, 606, 2430]",36,1.0,1.0,1.0
lung opacity,"[True, False, False]","[2272, 1177, 664]",37,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[1636, 427, 2297]",38,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1151, 692, 2049]",39,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1907, 2972, 2718]",41,1.0,1.0,1.0
lung opacity,"[True, True, False]","[3157, 476, 2883]",42,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2858, 2258, 2103]",43,1.0,1.0,1.0
