label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, False, True, False]","[1143, 1312, 2421, 1398, 1936]",0,0.9166666666666666,0.6,1.0
lung opacity,"[True, True, True, True, True]","[1689, 3168, 2846, 3094, 280]",1,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[144, 2115, 421, 2330, 886]",2,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2367, 1087, 2323, 1343, 2362]",3,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[843, 350, 445, 86, 1835]",4,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[3093, 1938, 1185, 3026, 1405]",5,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[2145, 1054, 2860, 2952, 361]",6,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[999, 1271, 446, 1134, 2527]",8,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2428, 2007, 1977, 1412, 2699]",9,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[392, 750, 3176, 355, 962]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[865, 1857, 2603, 2182, 3123]",12,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[3081, 622, 1411, 2583, 510]",13,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[42, 2920, 2568, 1421, 182]",14,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[2096, 1273, 1118, 1155, 1186]",16,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2647, 645, 1563, 1642, 2239]",17,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[1969, 205, 997, 2813, 1872]",19,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2991, 2952, 1987, 2967, 2148]",20,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[769, 1511, 1750, 2135, 2260]",21,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1331, 1911, 2850, 1640, 325]",22,1.0,1.0,1.0
