label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[True, True, False, True, True, True, True, False, False, True]","[2536, 86, 1633, 1266, 2108, 1009, 2239, 1597, 631, 2478]",0,0.8486394557823128,0.7,1.0
right lung opacity,"[True, True, True, False, True, True, False, False, True, True]","[3168, 1904, 2513, 538, 2300, 1742, 2782, 2433, 833, 213]",1,0.8571428571428571,0.7,1.0
right lung opacity,"[False, True, False, True, False, True, True, False, True, False]","[3166, 949, 908, 2963, 1003, 1876, 232, 2851, 2207, 1724]",2,0.5253968253968253,0.5,0.5
right lung opacity,"[False, False, True, True, False, False, False, False, False, True]","[2303, 1476, 1670, 149, 1816, 2240, 136, 857, 549, 777]",4,0.37777777777777777,0.3,0.3333333333333333
right lung opacity,"[True, True, True, True, False, True, True, True, True, False]","[1626, 2404, 2232, 2565, 572, 2642, 2730, 1744, 1603, 1565]",5,0.9317956349206349,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[1620, 1347, 615, 780, 2024, 1024, 2826, 3145, 3051, 1885]",6,1.0,0.9,1.0
right lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[1907, 1334, 1321, 2845, 1129, 2788, 2799, 3141, 1819, 2253]",9,0.7856701940035273,0.9,0.5
right lung opacity,"[False, True, False, False, True, False, False, True, True, False]","[2701, 3186, 2869, 1444, 2488, 1147, 134, 2612, 194, 2493]",11,0.4298611111111111,0.4,0.5
right lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[2257, 2669, 1749, 2172, 2130, 2706, 3117, 223, 320, 3154]",12,1.0,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1501, 2661, 540, 1469, 1137, 1995, 2860, 627, 367, 2923]",13,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[2989, 42, 383, 1285, 902, 643, 1247, 2489, 866, 2832]",14,0.9282627865961199,0.9,1.0
right lung opacity,"[True, False, True, True, False, True, True, False, True, True]","[2725, 62, 361, 2149, 1828, 2537, 1479, 2636, 784, 1848]",16,0.7377551020408164,0.7,1.0
right lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[2647, 1074, 2957, 2934, 1450, 1248, 1565, 2172, 392, 2250]",17,0.9626543209876544,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, False, False, True]","[1868, 2057, 211, 1919, 1516, 2848, 2265, 1323, 2823, 1568]",19,0.975,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2536, 0, 1073, 1804, 1042, 1897, 2478, 235, 1734, 2751]",20,1.0,1.0,1.0
right lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[1733, 2147, 2781, 16, 2067, 1271, 1391, 118, 1841, 595]",21,0.8412257495590829,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2861, 1478, 118, 2098, 2998, 586, 2512, 2995, 753, 1805]",22,1.0,1.0,1.0
