label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[True, True, False]","[1143, 1312, 2421]",0,1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1689, 3168, 2846]",1,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[144, 2115, 421]",2,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[843, 350, 445]",4,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[3093, 1938, 1185]",5,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[2145, 1054, 2860]",6,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2428, 2007, 1977]",9,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[392, 750, 3176]",11,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[865, 1857, 2603]",12,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3081, 622, 1411]",13,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[42, 2920, 2568]",14,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2096, 1273, 1118]",16,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2647, 645, 1563]",17,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1969, 205, 997]",19,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2991, 2952, 1987]",20,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[769, 1511, 1750]",21,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1331, 1911, 2850]",22,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3107, 426, 1687]",23,1.0,1.0,1.0
right lung opacity,"[False, True, False]","[1871, 2760, 2815]",24,0.5,0.3333333333333333,0.5
right lung opacity,"[True, True, True]","[2965, 541, 448]",26,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1504, 493, 2662]",27,1.0,1.0,1.0
right lung opacity,"[True, False, False]","[324, 1855, 2877]",28,1.0,0.3333333333333333,1.0
right lung opacity,"[False, True, True]","[3065, 480, 733]",29,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[False, True, True]","[1661, 888, 2952]",30,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[721, 1024, 358]",31,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1102, 421, 3031]",32,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[306, 3080, 2608]",33,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2722, 2208, 1496]",36,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1776, 924, 596]",37,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2785, 327, 2902]",38,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[2903, 3076, 470]",39,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, False, True]","[2477, 1288, 748]",40,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2920, 2694, 244]",42,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3132, 2906, 1940]",43,1.0,1.0,1.0
right lung opacity,"[False, False, False]","[491, 3083, 1661]",45,0.0,0.0,0.0
right lung opacity,"[True, False, True]","[1427, 1950, 2102]",46,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2120, 2280, 608]",48,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[32, 2210, 3163]",51,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[137, 1710, 1098]",52,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2121, 316, 2955]",53,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1254, 1505, 563]",54,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[3007, 2491, 386]",56,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1549, 2059, 324]",57,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2626, 2395, 997]",59,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1573, 2888, 2141]",60,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[108, 254, 1292]",61,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[2406, 2468, 2378]",64,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2032, 212, 2144]",66,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[650, 432, 1939]",67,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1042, 3063, 467]",68,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[314, 1744, 1966]",69,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[70, 1396, 1634]",1415,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[57, 686, 2168]",71,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, False]","[1498, 2459, 2959]",72,1.0,0.6666666666666666,1.0
right lung opacity,"[False, True, True]","[315, 1295, 1480]",73,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[972, 2960, 1462]",75,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1641, 1553, 951]",77,1.0,1.0,1.0
right lung opacity,"[False, True, False]","[2307, 888, 2176]",79,0.5,0.3333333333333333,0.5
right lung opacity,"[True, True, True]","[3025, 3182, 889]",81,1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1870, 1881, 1345]",82,1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[3069, 2372, 1887]",83,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1648, 650, 67]",85,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[445, 2181, 843]",86,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[48, 2096, 2120]",87,1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2617, 1564, 2219]",88,1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, False]","[2171, 1021, 2015]",89,1.0,0.6666666666666666,1.0
right lung opacity,"[False, True, False]","[1699, 2722, 128]",90,0.5,0.3333333333333333,0.5
right lung opacity,"[True, False, True]","[1718, 864, 2376]",91,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[3176, 2890, 1406]",93,1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1937, 1226, 145]",94,1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1844, 1338, 1731]",95,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1714, 1458, 2246]",96,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1197, 1812, 1731]",98,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[335, 2564, 316]",99,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, False, True]","[1245, 3154, 2044]",100,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[651, 2161, 464]",105,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2123, 2862, 2572]",106,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2861, 586, 1462]",108,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3152, 2985, 536]",109,1.0,1.0,1.0
right lung opacity,"[False, False, True]","[633, 869, 2906]",110,0.3333333333333333,0.3333333333333333,0.3333333333333333
right lung opacity,"[True, True, True]","[2395, 611, 1701]",112,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[865, 3040, 3123]",113,1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1103, 2057, 1755]",115,1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2210, 51, 3163]",117,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3027, 2420, 2895]",118,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1328, 2605, 2312]",119,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[144, 2, 2115]",121,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1730, 2844, 2481]",122,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[697, 2997, 2987]",123,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[3052, 1518, 1026]",124,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3066, 2844, 725]",125,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[606, 323, 577]",126,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2139, 1369, 660]",127,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[3017, 62, 734]",130,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[False, True, True]","[284, 144, 688]",131,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, False, True]","[1098, 2656, 52]",137,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1484, 1787, 221]",138,1.0,1.0,1.0
right lung opacity,"[True, False, False]","[139, 3166, 1598]",2573,1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, False]","[675, 2459, 1240]",140,1.0,0.6666666666666666,1.0
right lung opacity,"[True, False, False]","[1486, 1473, 785]",141,1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, True]","[1934, 149, 2787]",142,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1570, 2889, 1417]",143,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[2115, 2, 421]",144,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2363, 2344, 2306]",146,1.0,1.0,1.0
right lung opacity,"[True, False, False]","[1781, 379, 74]",148,1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, True]","[1934, 1296, 587]",149,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1794, 1076, 1322]",150,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[339, 59, 1450]",153,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1501, 1550, 1971]",155,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[854, 1159, 2175]",156,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[2259, 3072, 700]",157,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[2159, 1548, 2418]",158,1.0,1.0,1.0
