label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[628, 2128, 1179, 742, 2358, 519, 1929, 1199, 2296, 1535]",0,0.7856701940035273,0.9,0.5
right lung opacity,"[False, True, False, True, True, True, True, True, False, True]","[912, 1343, 2599, 3189, 2473, 677, 1414, 2180, 2496, 496]",1,0.6329931972789116,0.7,0.5
right lung opacity,"[False, True, False, False, False, False, True, False, True, False]","[1193, 1502, 2027, 2942, 773, 907, 1349, 1004, 325, 1724]",2,0.373015873015873,0.3,0.5
right lung opacity,"[False, True, True, True, False, True, True, False, True, False]","[2431, 295, 1948, 39, 2311, 1882, 1719, 1643, 3046, 1171]",4,0.6607142857142857,0.6,0.5
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3162, 1170, 507, 858, 2888, 2647, 2172, 3121, 3116, 1495]",5,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, False, False, True, True]","[2803, 1561, 855, 1553, 2524, 2462, 2209, 561, 1710, 2758]",6,0.9472222222222222,0.8,1.0
right lung opacity,"[True, True, False, True, True, True, True, True, False, True]","[873, 484, 102, 3026, 170, 714, 2392, 1541, 1573, 965]",9,0.8644345238095238,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[1417, 407, 2474, 2684, 1318, 658, 1197, 1755, 2763, 2668]",11,0.9765432098765433,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1081, 3002, 2630, 2479, 1493, 1553, 2139, 1344, 1983, 2606]",12,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[657, 499, 1587, 2331, 3185, 1170, 1645, 306, 220, 807]",13,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1557, 2993, 42, 2489, 1247, 2977, 354, 2983, 972, 629]",14,1.0,1.0,1.0
right lung opacity,"[False, False, True, False, True, False, True, False, False, True]","[2021, 2517, 1178, 1027, 3048, 3065, 2473, 1827, 2843, 1891]",16,0.39047619047619053,0.4,0.3333333333333333
right lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[2647, 2405, 2217, 3119, 2172, 1834, 3121, 657, 2760, 1170]",17,0.9467813051146384,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[416, 3037, 377, 2295, 950, 1413, 257, 1806, 1654, 2082]",19,0.9626543209876544,0.9,1.0
right lung opacity,"[True, True, True, True, False, True, True, True, True, False]","[1678, 3185, 2291, 3110, 3183, 2602, 499, 451, 2253, 2517]",20,0.9317956349206349,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2969, 540, 3110, 2338, 2889, 2129, 1594, 1338, 959, 26]",21,1.0,1.0,1.0
right lung opacity,"[True, False, True, True, False, True, True, False, True, True]","[2847, 1188, 2975, 2573, 2959, 876, 1178, 3065, 1511, 523]",22,0.7377551020408164,0.7,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[2150, 2416, 2699, 2557, 1025, 1979, 1729, 2155, 947, 272]",23,1.0,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1468, 889, 346, 96, 765, 1222, 2395, 762, 2967, 2712]",24,1.0,1.0,1.0
right lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[2425, 2338, 21, 1041, 1944, 276, 1595, 2075, 2116, 2969]",26,0.7856701940035273,0.9,0.5
right lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[165, 1022, 1563, 2192, 2770, 2659, 1133, 2624, 1111, 2245]",27,0.9626543209876544,0.9,1.0
