label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[1647, 1226, 2926, 628, 1569, 764, 3001, 2800, 246, 704]",0,0.9060405643738976,0.9,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[56, 3168, 679, 2706, 1419, 1194, 1614, 204, 1020, 3189]",1,0.9626543209876544,0.9,1.0
lung opacity,"[True, False, False, False, True, True, True, False, False, False]","[405, 1800, 1153, 168, 2670, 571, 2974, 460, 1724, 907]",2,0.6178571428571429,0.4,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[536, 2334, 378, 1888, 2406, 1302, 343, 2829, 2787, 2804]",3,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[1253, 55, 1903, 435, 295, 1398, 366, 1187, 1948, 943]",4,1.0,0.9,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[1470, 1387, 1725, 1875, 858, 3154, 1679, 402, 3081, 1208]",5,0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1934, 2689, 730, 1815, 1149, 1551, 19, 1599, 1650, 1292]",6,1.0,1.0,1.0
lung opacity,"[True, True, True, False, False, True, True, True, True, True]","[2739, 2256, 294, 1458, 788, 3073, 2640, 1907, 1118, 996]",8,0.8385912698412699,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[2135, 666, 873, 2236, 2385, 2729, 273, 2176, 2999, 1514]",9,1.0,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[178, 538, 2300, 2456, 2753, 1887, 2719, 260, 1845, 2258]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False, True, False, True, False, True]","[1107, 2563, 2479, 2235, 810, 1886, 1528, 766, 1872, 279]",12,0.8976190476190476,0.7,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1749, 791, 645, 3088, 446, 3120, 1971, 646, 1645, 2044]",13,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[2148, 1946, 969, 1179, 520, 1867, 463, 1969, 2488, 2315]",14,0.8412257495590829,0.9,1.0
lung opacity,"[True, False, True, True, True, True, True, False, True, True]","[2708, 1267, 1076, 2712, 2604, 2335, 1556, 2021, 920, 552]",16,0.8106150793650794,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[2647, 2172, 1479, 3121, 3010, 697, 441, 2105, 1897, 2439]",17,0.9765432098765433,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1654, 1934, 1292, 1551, 2508, 94, 931, 2061, 730, 2026]",19,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[2572, 436, 306, 2584, 2779, 2331, 798, 2220, 645, 1395]",20,1.0,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3110, 465, 2330, 1495, 437, 320, 568, 3071, 2786, 1634]",21,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True, True, True, True, True, True]","[316, 66, 2517, 245, 899, 3065, 1900, 1493, 2228, 2790]",22,0.8782627865961199,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2180, 2428, 52, 2763, 2833, 1551, 1292, 1149, 542, 2057]",23,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1507, 2148, 1867, 346, 2639, 956, 1085, 932, 1690, 2768]",24,1.0,1.0,1.0
lung opacity,"[False, True, False, True, True, True, True, True, True, True]","[2870, 1831, 2214, 507, 3061, 342, 452, 1438, 724, 91]",26,0.6635912698412698,0.8,0.5
lung opacity,"[True, True, True, True, True, True, True, True, False, True]","[1791, 280, 424, 1663, 1405, 2722, 1776, 436, 1395, 891]",27,0.9888888888888889,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[2075, 2060, 2327, 51, 2162, 2760, 2341, 1834, 3118, 3119]",28,0.9765432098765433,0.9,1.0
lung opacity,"[True, False, True, True, False, True, True, True, True, True]","[812, 399, 2284, 1481, 1324, 1917, 2041, 2462, 3032, 2573]",29,0.7656746031746031,0.8,1.0
lung opacity,"[True, False, True, False, False, True, True, True, False, False]","[309, 1472, 325, 1177, 2374, 649, 2260, 1169, 2737, 3158]",30,0.6726190476190477,0.5,1.0
lung opacity,"[True, True, False, False, False, False, False, True, False, True]","[163, 2951, 825, 2701, 909, 2448, 497, 581, 2968, 1772]",31,0.69375,0.4,1.0
lung opacity,"[True, True, True, True, True, True, False, True, False, True]","[2619, 1679, 1387, 3116, 2760, 1470, 1834, 2217, 3154, 1725]",32,0.959375,0.8,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[3187, 1612, 1886, 2722, 2375, 365, 2528, 1355, 144, 2778]",33,0.9467813051146384,0.9,1.0
lung opacity,"[False, False, True, True, True, True, True, False, False, True]","[1348, 103, 291, 2735, 222, 653, 1353, 1487, 1120, 80]",35,0.569047619047619,0.6,0.3333333333333333
lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[753, 2583, 2789, 1272, 2644, 1612, 1541, 621, 306, 484]",36,0.9282627865961199,0.9,1.0
lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[1358, 2743, 1383, 38, 2471, 427, 859, 2948, 1075, 1814]",37,0.7856701940035273,0.9,0.5
lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[37, 427, 2743, 2948, 859, 2906, 1383, 1075, 1680, 1358]",38,1.0,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1492, 1895, 2360, 2136, 615, 383, 3040, 2582, 2952, 2518]",39,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[1943, 3070, 2043, 889, 2649, 1483, 409, 247, 522, 2930]",40,0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[2777, 2547, 1313, 477, 1633, 73, 2209, 2310, 1367, 1043]",41,0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, False, True, False]","[914, 668, 2265, 2292, 2756, 1183, 1465, 34, 2472, 1597]",42,0.9861111111111112,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[377, 1539, 2437, 1815, 124, 2294, 2287, 6, 2689, 2564]",43,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1154, 1494, 2815, 158, 1298, 2686, 2242, 2972, 2807, 317]",45,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[3135, 522, 2043, 2910, 1010, 2912, 2321, 1366, 901, 2504]",46,0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[573, 2593, 2398, 3058, 1940, 1154, 1894, 599, 725, 376]",48,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[2162, 2060, 3119, 1834, 858, 2341, 2760, 2325, 527, 2509]",51,0.9060405643738976,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2428, 2130, 23, 3052, 806, 542, 2153, 2180, 419, 2833]",52,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[245, 1244, 1730, 18, 2632, 3080, 2155, 1493, 1243, 2706]",53,0.9060405643738976,0.9,1.0
lung opacity,"[True, True, True, True, True, False, False, True, True, True]","[2101, 2743, 509, 194, 37, 1577, 1358, 209, 1075, 1383]",54,0.9159722222222222,0.8,1.0
lung opacity,"[True, True, False, False, False, True, True, True, True, True]","[1429, 1253, 1260, 2836, 2218, 2634, 1002, 1554, 2735, 2773]",55,0.7232993197278912,0.7,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1194, 1, 2008, 1448, 2285, 1663, 2169, 347, 2796, 436]",56,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[472, 868, 210, 1116, 1706, 3103, 3007, 2067, 2744, 2175]",57,1.0,1.0,1.0
