label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[2585, 1035, 1163, 628, 648, 1145, 2358, 352, 1179, 2296]",0,0.9060405643738976,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1343, 3168, 3137, 1378, 2596, 2469, 1681, 596, 2803, 2140]",1,1.0,1.0,1.0
lung opacity,"[False, True, False, False, False, True, True, False, True, False]","[1132, 649, 128, 1193, 803, 1169, 397, 518, 325, 3096]",2,0.42658730158730157,0.4,0.5
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[1216, 223, 440, 883, 1504, 2475, 2341, 2259, 563, 859]",3,0.9765432098765433,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3038, 3046, 2826, 295, 1948, 3095, 1882, 1015, 1253, 1851]",4,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3162, 2263, 1647, 1328, 1645, 1603, 1495, 1387, 1031, 2738]",5,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[2803, 1418, 1282, 1213, 386, 2721, 660, 2014, 2990, 2524]",6,0.8412257495590829,0.9,1.0
lung opacity,"[True, True, True, True, False, True, False, True, True, False]","[2775, 1213, 2794, 2812, 1348, 1210, 788, 2207, 1421, 152]",8,0.9087301587301587,0.7,1.0
lung opacity,"[True, True, True, True, False, False, True, True, True, True]","[1541, 873, 484, 714, 1573, 102, 2498, 965, 3086, 170]",9,0.8802579365079366,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2832, 1145, 1907, 1025, 407, 784, 2716, 1803, 272, 1035]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1796, 52, 1551, 274, 499, 2155, 1553, 2479, 3177, 517]",12,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1869, 1321, 674, 2121, 606, 1875, 2541, 408, 1012, 821]",13,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2993, 265, 848, 2906, 559, 427, 42, 1245, 241, 1308]",14,1.0,1.0,1.0
lung opacity,"[False, True, True, False, True, True, False, False, True, False]","[2021, 1891, 2368, 2023, 2473, 2602, 2214, 977, 784, 2517]",16,0.5977777777777777,0.5,0.5
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[2647, 2172, 2217, 1470, 3121, 1834, 2405, 1875, 2669, 1172]",17,0.9467813051146384,0.9,1.0
