label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, False, True, True, True]","[1179, 628, 2296, 1257, 2585]",0,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1343, 2403, 3168, 2469, 1414]",1,1.0,1.0,1.0
lung opacity,"[False, True, True, True, False]","[3047, 325, 1502, 649, 128]",2,0.6388888888888888,0.6,0.5
lung opacity,"[True, True, True, True, True]","[223, 883, 2475, 2341, 440]",3,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1882, 1492, 295, 2826, 1948]",4,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[3162, 2738, 1875, 1647, 1834]",5,1.0,0.8,1.0
lung opacity,"[True, False, True, True, True]","[2803, 1418, 2524, 2923, 2693]",6,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, False, True, True]","[1160, 2775, 152, 2981, 1421]",8,0.8875,0.8,1.0
lung opacity,"[True, False, True, True, True]","[1541, 102, 714, 484, 873]",9,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2716, 1803, 2456, 1035, 1907]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2479, 1796, 1729, 716, 1553]",12,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[1321, 461, 1462, 540, 2331]",13,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[848, 2694, 2604, 2993, 648]",14,1.0,1.0,1.0
lung opacity,"[False, True, True, True, False]","[2021, 1891, 2473, 2338, 2517]",16,0.6388888888888888,0.6,0.5
lung opacity,"[True, True, True, True, False]","[2647, 2217, 3119, 2172, 1834]",17,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3037, 416, 2082, 1413, 753]",19,1.0,1.0,1.0
lung opacity,"[True, False, False, True, True]","[1678, 977, 1585, 323, 1558]",20,0.7000000000000001,0.6,1.0
lung opacity,"[True, True, True, True, True]","[2338, 657, 465, 331, 2816]",21,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[398, 1511, 622, 1660, 2205]",22,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2416, 2155, 2557, 2699, 2150]",23,1.0,1.0,1.0
