label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True]","[1257, 2358, 1179]",0,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2403, 2469, 3168]",1,1.0,1.0,1.0
lung opacity,"[True, False, True]","[325, 2027, 1863]",2,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2475, 563, 1216]",3,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1882, 1948, 2826]",4,1.0,1.0,1.0
lung opacity,"[True, True, False]","[3162, 2738, 1834]",5,1.0,0.6666666666666666,1.0
lung opacity,"[True, False, True]","[2803, 2407, 2377]",6,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2981, 2775, 1160]",8,1.0,1.0,1.0
lung opacity,"[True, True, True]","[873, 1541, 714]",9,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1803, 2716, 361]",11,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2522, 752, 716]",12,1.0,1.0,1.0
lung opacity,"[False, True, True]","[461, 1321, 1462]",13,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[2993, 848, 972]",14,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2021, 2473, 1891]",16,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[2647, 3119, 2217]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3037, 1413, 2082]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1678, 1558, 3110]",20,1.0,1.0,1.0
lung opacity,"[True, True, False]","[657, 26, 1834]",21,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[3019, 398, 1511]",22,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2416, 2699, 1729]",23,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1468, 2395, 2967]",24,1.0,1.0,1.0
lung opacity,"[True, True, True]","[21, 331, 2116]",26,1.0,1.0,1.0
lung opacity,"[True, True, True]","[165, 1022, 1563]",27,1.0,1.0,1.0
lung opacity,"[True, True, False]","[3118, 482, 1657]",28,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2019, 3052, 1220]",29,1.0,1.0,1.0
lung opacity,"[True, True, True]","[309, 678, 1169]",30,1.0,1.0,1.0
lung opacity,"[True, True, True]","[163, 434, 487]",31,1.0,1.0,1.0
lung opacity,"[True, True, True]","[858, 1634, 2677]",32,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3013, 2688, 1239]",33,1.0,1.0,1.0
lung opacity,"[True, True, True]","[653, 495, 291]",35,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2245, 2411, 697]",36,1.0,1.0,1.0
lung opacity,"[True, True, True]","[427, 2471, 688]",37,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2471, 1680, 859]",38,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1981, 1820, 1264]",39,1.0,1.0,1.0
lung opacity,"[True, False, True]","[2094, 2594, 522]",40,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2140, 2182, 1511]",41,1.0,1.0,1.0
lung opacity,"[True, True, True]","[808, 1247, 613]",42,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2689, 1506, 1539]",43,1.0,1.0,1.0
lung opacity,"[True, False, True]","[2732, 1288, 477]",45,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, True, True]","[299, 1744, 1307]",46,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[969, 1308, 1129]",48,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2888, 1725, 2217]",51,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1711, 1796, 1894]",52,1.0,1.0,1.0
lung opacity,"[True, True, True]","[177, 3123, 899]",53,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1351, 946, 2928]",54,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, False, True]","[154, 2616, 2692]",55,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[1704, 2335, 230]",56,1.0,1.0,1.0
lung opacity,"[True, True, True]","[756, 868, 2442]",57,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1518, 89, 108]",59,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2859, 1901, 2888]",60,1.0,1.0,1.0
