label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[1257, 2358, 1179, 1163, 953, 628, 2296, 1035, 2585, 1867]",0,0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2403, 2469, 3168, 3149, 2803, 677, 640, 984, 1343, 1414]",1,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True, False, True, True, True, False]","[325, 2027, 1863, 397, 1502, 3047, 405, 2654, 2344, 128]",2,0.7798185941043084,0.7,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[2475, 563, 1216, 859, 1504, 670, 223, 736, 883, 440]",3,0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1882, 1948, 2826, 1492, 2628, 295, 1593, 3046, 1620, 1015]",4,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True, True, True, True, True, True]","[3162, 2738, 1834, 1875, 2509, 1495, 2969, 507, 1647, 3121]",5,0.8782627865961199,0.9,1.0
lung opacity,"[True, False, True, True, False, False, True, True, True, True]","[2803, 2407, 2377, 2721, 1418, 2209, 2990, 2524, 660, 1958]",6,0.7113945578231293,0.7,1.0
lung opacity,"[True, True, True, False, False, True, True, True, True, True]","[2981, 2775, 1160, 152, 842, 2207, 1421, 1213, 2812, 2710]",8,0.8385912698412699,0.8,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[873, 1541, 714, 484, 3086, 1912, 102, 965, 2498, 2392]",9,0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1803, 2716, 361, 742, 2456, 272, 1318, 1035, 2138, 2398]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, False, True]","[2522, 752, 716, 1880, 1553, 2479, 2159, 1983, 1186, 307]",12,0.9888888888888889,0.9,1.0
