label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[2128, 2817, 2148, 628, 2017, 2991, 2467, 2800, 1532, 516]",0,0.9060405643738976,0.9,1.0
right lung opacity,"[True, False, True, False, True, False, True, True, True, False]","[2473, 912, 1414, 2599, 3189, 1528, 3185, 791, 446, 2496]",1,0.6882936507936508,0.6,1.0
right lung opacity,"[True, True, True, False, False, True, False, False, False, True]","[1863, 719, 1502, 3047, 128, 2646, 1193, 173, 907, 1169]",2,0.8333333333333333,0.5,1.0
right lung opacity,"[True, True, True, False, True, True, False, True, True, False]","[295, 567, 1882, 303, 1948, 1521, 826, 1253, 1429, 203]",4,0.88015873015873,0.7,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1645, 3116, 1875, 1208, 3162, 1692, 2596, 1387, 3081, 220]",5,1.0,1.0,1.0
right lung opacity,"[True, True, True, False, True, True, True, True, False, True]","[2153, 3177, 1545, 1418, 1553, 2235, 2522, 2803, 393, 1484]",6,0.8956845238095238,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[873, 666, 965, 609, 64, 2532, 1912, 722, 170, 586]",9,1.0,1.0,1.0
right lung opacity,"[True, False, True, True, False, True, False, True, True, True]","[1318, 3106, 59, 2542, 1189, 2753, 538, 2122, 2207, 2204]",11,0.725,0.7,1.0
right lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[1493, 1656, 1081, 752, 1553, 1344, 2606, 537, 2630, 850]",12,0.8412257495590829,0.9,1.0
right lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[1496, 421, 499, 461, 2584, 2140, 2306, 1869, 3180, 1501]",13,0.9060405643738976,0.9,1.0
right lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[1946, 354, 277, 113, 1247, 2983, 1285, 2935, 1667, 3173]",14,0.7856701940035273,0.9,0.5
right lung opacity,"[False, False, False, True, True, True, True, True, True, True]","[2021, 2843, 3065, 734, 1468, 1035, 1891, 3006, 1178, 2602]",16,0.5304421768707482,0.7,0.25
right lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[2647, 2172, 2669, 2217, 1875, 2760, 1834, 657, 3116, 1470]",17,0.9626543209876544,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1654, 416, 2973, 2610, 2449, 1292, 1806, 845, 950, 377]",19,1.0,1.0,1.0
right lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[3183, 1678, 499, 2129, 2291, 3185, 2324, 562, 1587, 2000]",20,0.7856701940035273,0.9,0.5
right lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[3110, 437, 1922, 2121, 2920, 792, 465, 839, 1338, 3000]",21,0.9467813051146384,0.9,1.0
right lung opacity,"[True, True, False, True, False, True, True, True, False, True]","[1241, 2228, 2696, 523, 2205, 2703, 2465, 1006, 1188, 1511]",22,0.7972789115646258,0.7,1.0
right lung opacity,"[True, True, True, False, True, True, True, False, True, True]","[2150, 2557, 1894, 1614, 526, 2171, 1297, 2876, 2155, 903]",23,0.883531746031746,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[99, 956, 440, 1222, 1690, 1697, 2791, 1085, 3044, 2197]",24,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1041, 342, 1035, 2338, 648, 1594, 1867, 446, 2738, 2602]",26,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1791, 2042, 1776, 2411, 165, 753, 218, 156, 450, 1411]",27,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, False, True]","[3118, 2755, 2088, 1285, 475, 1732, 1279, 1888, 3, 736]",28,0.9888888888888889,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, False, False]","[1917, 1713, 196, 766, 2019, 1378, 2316, 638, 2407, 162]",29,1.0,0.8,1.0
