label_name,target_hit,target_indices,AP,HR,RR
right lung opacity,"[True, True, True]","[1929, 1179, 953]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1610, 2403, 1893]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1882, 1492, 295]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3162, 1495, 1470]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2803, 1561, 2169]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[873, 122, 2802]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[164, 2080, 2419]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2522, 1654, 1553]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[306, 3053, 2257]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[277, 2993, 354]",1.0,1.0,1.0
right lung opacity,"[False, True, False]","[2021, 1891, 2214]",0.5,0.3333333333333333,0.5
right lung opacity,"[True, True, True]","[2647, 2172, 1143]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[771, 925, 3037]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[196, 1214, 451]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[331, 2677, 2075]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1894, 1344, 2150]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1222, 2395, 1969]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[331, 2338, 2425]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2192, 165, 2624]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1279, 3118, 1742]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2019, 1917, 1713]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[309, 1169, 3100]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[163, 434, 1813]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[402, 1399, 1166]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1830, 936, 1338]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1874, 1837, 18]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, False, True]","[516, 1433, 688]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1680, 859, 2471]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2313, 1820, 1903]",1.0,0.6666666666666666,1.0
right lung opacity,"[False, True, True]","[2594, 2029, 720]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, False]","[520, 808, 2782]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1305, 2294, 1506]",1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1950, 2495, 2732]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, False, True]","[1923, 628, 1700]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, False]","[3119, 3142, 1834]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2923, 660, 3050]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[333, 288, 3165]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1351, 2928, 2577]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1757, 2948, 1248]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[431, 99, 2442]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1275, 2267, 878]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1901, 1881, 2859]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2221, 2914, 2174]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[140, 122, 2127]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3126, 143, 602]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[791, 1086, 362]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2203, 2993, 2573]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1228, 1906, 1282]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[False, True, True]","[297, 1298, 3066]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[142, 650, 2890]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[79, 686, 615]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2970, 2204, 1249]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1376, 1953, 132]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[615, 2030, 72]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2195, 2859, 141]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1957, 3125, 2651]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[475, 1490, 2039]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[979, 2134, 1167]",1.0,1.0,1.0
right lung opacity,"[False, False, True]","[747, 1381, 2040]",0.3333333333333333,0.3333333333333333,0.3333333333333333
right lung opacity,"[True, True, True]","[1123, 1592, 192]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1586, 1948, 3184]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2467, 1340, 1909]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[660, 1145, 724]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2816, 2466, 2338]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2398, 1561, 2075]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1149, 1288, 1545]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2791, 2604, 1042]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1104, 2505, 1844]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2818, 1901, 60]",1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1905, 455, 665]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, False]","[1688, 1453, 1094]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2111, 2079, 444]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[801, 1017, 1790]",1.0,1.0,1.0
right lung opacity,"[False, False, True]","[2218, 129, 492]",0.3333333333333333,0.3333333333333333,0.3333333333333333
right lung opacity,"[True, True, False]","[2175, 2329, 1028]",1.0,0.6666666666666666,1.0
right lung opacity,"[False, True, True]","[1946, 848, 2995]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[2605, 3101, 1239]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3112, 2845, 1968]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2879, 2453, 1338]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3149, 1408, 706]",1.0,1.0,1.0
right lung opacity,"[False, True, True]","[760, 734, 2791]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, False]","[1494, 64, 2182]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1662, 1650, 2020]",1.0,1.0,1.0
right lung opacity,"[False, True, False]","[2023, 3175, 1633]",0.5,0.3333333333333333,0.5
right lung opacity,"[True, True, True]","[2831, 115, 2491]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2129, 2257, 1595]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1878, 193, 3035]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2738, 634, 3027]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1086, 2565, 2171]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1579, 3016, 1805]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2450, 2164, 2230]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[64, 2087, 1372]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2762, 2779, 81]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2890, 650, 587]",1.0,1.0,1.0
right lung opacity,"[False, True, True]","[506, 756, 1390]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[1338, 2331, 1496]",1.0,1.0,1.0
right lung opacity,"[False, True, False]","[2516, 369, 2675]",0.5,0.3333333333333333,0.5
right lung opacity,"[True, True, True]","[67, 791, 391]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[820, 1772, 989]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2154, 867, 727]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2335, 2688, 2331]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[576, 2178, 3053]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1776, 822, 892]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2635, 1226, 1867]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[2111, 1395, 627]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[569, 1113, 2827]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1603, 634, 1645]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[31, 434, 487]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2245, 635, 1563]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2646, 345, 1508]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[583, 3043, 1247]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[3086, 1498, 2778]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[194, 1366, 1283]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2803, 660, 2526]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1820, 498, 2313]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[329, 2257, 2842]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[947, 2474, 1034]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2922, 3164, 2892]",1.0,1.0,1.0
right lung opacity,"[True, False, False]","[1425, 1954, 2887]",1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, False]","[799, 1156, 1699]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2040, 749, 88]",1.0,1.0,1.0
right lung opacity,"[True, False, False]","[901, 2002, 299]",1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, True]","[209, 241, 2322]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[566, 2185, 3155]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[938, 1272, 635]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[3143, 2029, 1724]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1090, 2362, 2908]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1123, 1586, 87]",1.0,1.0,1.0
right lung opacity,"[True, False, False]","[130, 2897, 672]",1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, True]","[2260, 2933, 1842]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[646, 2440, 2947]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[2235, 1027, 20]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[False, False, True]","[1029, 1873, 261]",0.3333333333333333,0.3333333333333333,0.3333333333333333
right lung opacity,"[True, True, True]","[3051, 2534, 1798]",1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1260, 951, 978]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[1734, 2956, 1195]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1343, 496, 616]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2806, 1484, 662]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2131, 1745, 3155]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1010, 270, 467]",1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1287, 2165, 2409]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, False, True]","[2970, 1288, 73]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[187, 2322, 2265]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2988, 2744, 213]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2810, 1516, 1246]",1.0,1.0,1.0
right lung opacity,"[False, True, False]","[1936, 308, 1193]",0.5,0.3333333333333333,0.5
right lung opacity,"[True, True, True]","[2988, 210, 2385]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[320, 1237, 2540]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1338, 2411, 1496]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[828, 2706, 181]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[606, 2762, 1725]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2019, 3134, 29]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1216, 2341, 3142]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1405, 1111, 419]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1389, 2888, 2818]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[619, 2388, 290]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2998, 2970, 2367]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1259, 1239, 347]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2680, 1869, 2884]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[888, 3077, 826]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, False, True]","[964, 2105, 1221]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[820, 1491, 1902]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2640, 3175, 2463]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[213, 2988, 2744]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2899, 2560, 2212]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2265, 2743, 209]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2098, 1411, 2273]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[333, 2578, 3013]",1.0,1.0,1.0
right lung opacity,"[True, False, True]","[569, 1649, 2827]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2140, 899, 576]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[517, 2139, 1124]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2514, 1340, 89]",1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1362, 789, 2342]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1839, 1891, 2843]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, False, True]","[2813, 1705, 3178]",0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[False, False, True]","[3079, 1049, 1477]",0.3333333333333333,0.3333333333333333,0.3333333333333333
right lung opacity,"[False, True, True]","[2064, 930, 1230]",0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[1045, 528, 2632]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[3018, 2542, 1060]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, False]","[1523, 1417, 852]",1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1530, 2684, 1710]",1.0,1.0,1.0
right lung opacity,"[True, True, False]","[2586, 430, 943]",1.0,0.6666666666666666,1.0
