label_name,target_hit,target_indices,AP,HR,RR
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1929, 1179, 953, 1108, 2358, 704, 519, 742, 1672, 326]",1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1610, 2403, 1893, 68, 175, 2522, 411, 2803, 3149, 386]",1.0,1.0,1.0
lung opacity,"[False, False, False, False, True, True, False, False, True, True]","[1193, 3047, 1004, 1856, 878, 1502, 328, 2027, 2654, 1863]",0.31666666666666665,0.4,0.2
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[1216, 2296, 482, 28, 1933, 2259, 223, 1701, 2991, 1735]",0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[1882, 1492, 295, 2446, 303, 2628, 462, 2826, 623, 3046]",0.9282627865961199,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3162, 1495, 1470, 131, 2263, 2738, 634, 3123, 576, 1172]",1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2803, 1561, 2169, 207, 2990, 1134, 2603, 263, 3149, 1455]",1.0,1.0,1.0
lung opacity,"[False, True, True, True, True, False, True, False, True, False]","[152, 996, 1160, 1685, 2569, 1176, 1100, 943, 2710, 2038]",0.6829365079365081,0.6,0.5
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[873, 122, 2802, 3086, 1494, 2392, 102, 2111, 2011, 1912]",0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[164, 2080, 2419, 1417, 1927, 2340, 1425, 1923, 2684, 2549]",1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2522, 1654, 1553, 1880, 307, 2950, 1192, 411, 175, 1493]",1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[306, 3053, 2257, 2666, 1338, 1231, 1869, 461, 2584, 421]",0.9765432098765433,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, False, True]","[277, 2993, 354, 1247, 629, 113, 972, 1506, 1946, 851]",0.9888888888888889,0.9,1.0
lung opacity,"[False, True, False, True, True, True, True, True, True, True]","[2021, 1891, 2214, 2604, 1965, 1042, 437, 1124, 2462, 444]",0.6635912698412698,0.8,0.5
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[2647, 2172, 1143, 839, 1470, 2669, 1170, 1834, 3119, 3116]",0.9765432098765433,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[771, 925, 3037, 1001, 1478, 287, 2082, 1448, 608, 3109]",1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[196, 1214, 451, 2602, 2473, 1045, 810, 1343, 562, 1522]",0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[331, 2677, 2075, 26, 465, 2129, 740, 2772, 2338, 2889]",1.0,1.0,1.0
lung opacity,"[True, True, False, True, True, True, True, True, True, True]","[2205, 1188, 960, 1122, 2164, 3125, 1243, 2010, 1438, 2850]",0.8782627865961199,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[1894, 1344, 2150, 915, 2557, 2852, 127, 485, 1157, 716]",0.9765432098765433,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1222, 2395, 1969, 765, 121, 1468, 2967, 1690, 2712, 2768]",1.0,1.0,1.0
lung opacity,"[True, True, False, True, True, True, True, True, False, True]","[331, 2338, 2425, 21, 740, 2816, 2889, 1041, 2214, 3110]",0.8644345238095238,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, False, False, True]","[2192, 165, 2624, 1022, 2770, 1563, 2245, 1093, 1133, 1080]",0.975,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, True, False, True]","[1279, 3118, 1742, 2804, 704, 2956, 604, 1758, 1657, 1467]",0.9888888888888889,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2019, 1917, 1713, 542, 2581, 2044, 2130, 597, 221, 3052]",1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, False, False, False, False, True]","[309, 1169, 3100, 325, 678, 1703, 2374, 803, 3158, 2187]",0.9333333333333332,0.6,1.0
lung opacity,"[True, True, True, True, False, True, True, False, True, False]","[163, 434, 1813, 487, 120, 1263, 1772, 2091, 2063, 909]",0.9240362811791382,0.7,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[402, 1399, 1166, 2677, 2816, 2425, 2889, 2969, 858, 2738]",0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1830, 936, 1338, 144, 2688, 3005, 320, 663, 1322, 1389]",1.0,1.0,1.0
lung opacity,"[True, True, False, True, True, True, False, True, True, True]","[2953, 2276, 2229, 653, 79, 1250, 904, 3145, 615, 2518]",0.8388888888888889,0.8,1.0
lung opacity,"[True, True, False, True, False, True, True, True, True, True]","[1874, 1837, 18, 2686, 977, 1684, 2508, 1501, 1496, 683]",0.8073412698412699,0.8,1.0
lung opacity,"[True, False, True, True, True, True, True, True, True, False]","[516, 1433, 688, 1383, 3006, 409, 2471, 38, 427, 1175]",0.8338789682539682,0.8,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[1680, 859, 2471, 427, 2800, 2128, 670, 2861, 403, 1532]",0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2313, 1820, 1903, 1264, 1808, 1810, 3059, 3184, 783, 1337]",1.0,1.0,1.0
lung opacity,"[False, True, True, False, True, False, False, True, False, True]","[2594, 2029, 720, 1724, 1008, 1193, 299, 1180, 2962, 2767]",0.5533333333333333,0.5,0.5
lung opacity,"[False, True, True, True, True, True, False, True, True, True]","[804, 1966, 597, 708, 2923, 2343, 1827, 2111, 2122, 2581]",0.7347222222222223,0.8,0.5
lung opacity,"[True, True, False, True, True, False, True, True, True, True]","[520, 808, 2782, 613, 277, 1828, 1285, 1636, 2410, 1500]",0.8240079365079365,0.8,1.0
