label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True]","[953, 1840, 859]",0,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2751, 1343, 1371]",1,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2679, 1918, 2670]",2,1.0,1.0,1.0
lung opacity,"[True, True, True]","[536, 3090, 1694]",3,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1350, 2919, 3184]",4,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3148, 992, 1281]",5,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1097, 1268, 2419]",6,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2732, 1160, 2724]",8,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2786, 484, 1656]",9,1.0,1.0,1.0
lung opacity,"[True, True, True]","[16, 2340, 652]",11,1.0,1.0,1.0
lung opacity,"[True, True, False]","[219, 998, 92]",12,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[333, 306, 3074]",13,1.0,1.0,1.0
lung opacity,"[True, True, True]","[42, 2917, 1320]",14,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2908, 831, 2021]",16,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2647, 2669, 2405]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[416, 2838, 2610]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[41, 266, 1073]",20,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1214, 1400, 555]",21,1.0,1.0,1.0
lung opacity,"[True, True, True]","[931, 3042, 689]",22,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2699, 1729, 426]",23,1.0,1.0,1.0
lung opacity,"[True, True, True]","[762, 1690, 2694]",24,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1594, 2796, 2128]",26,1.0,1.0,1.0
lung opacity,"[True, True, True]","[165, 1563, 2191]",27,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1317, 749, 3118]",28,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1699, 2329, 2057]",29,1.0,1.0,1.0
lung opacity,"[True, True, False]","[3182, 1600, 114]",30,1.0,0.6666666666666666,1.0
lung opacity,"[False, True, False]","[2685, 487, 50]",31,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[320, 1704, 3005]",32,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2688, 2411, 1634]",33,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2412, 2433, 2953]",35,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2770, 2711, 2508]",36,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2922, 1245, 2720]",37,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1680, 643, 1639]",38,1.0,1.0,1.0
lung opacity,"[True, True, True]","[513, 1337, 2537]",39,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2567, 1802, 1799]",40,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, False]","[20, 2129, 2021]",41,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1247, 14, 1320]",42,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2755, 378, 105]",43,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2407, 2318, 1578]",45,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1651, 1878, 1423]",46,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1992, 1466, 2075]",48,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3027, 959, 1672]",51,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3021, 915, 68]",52,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2161, 1969, 899]",53,1.0,1.0,1.0
lung opacity,"[True, True, True]","[296, 1969, 1351]",54,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2044, 632, 3034]",56,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2144, 1655, 693]",57,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1638, 1278, 1670]",59,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2738, 2888, 2538]",60,1.0,1.0,1.0
lung opacity,"[True, True, True]","[700, 407, 1417]",61,1.0,1.0,1.0
lung opacity,"[True, True, True]","[245, 2249, 1941]",62,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1999, 1665, 140]",64,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1884, 1731, 1051]",65,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1426, 1791, 2799]",66,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1143, 1311, 3188]",67,1.0,1.0,1.0
lung opacity,"[True, True, True]","[52, 2289, 2981]",68,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2609, 1790, 1206]",69,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1298, 1415, 297]",70,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2460, 2648, 1442]",71,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2824, 2451, 2754]",72,1.0,1.0,1.0
lung opacity,"[False, False, True]","[1705, 788, 1006]",73,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, False, True]","[3024, 589, 2347]",75,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[199, 2168, 1247]",77,1.0,1.0,1.0
lung opacity,"[True, True, True]","[554, 1457, 466]",78,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1895, 2030, 2750]",79,1.0,1.0,1.0
lung opacity,"[False, True, True]","[589, 1882, 2433]",80,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[3101, 233, 141]",81,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1660, 1957, 2418]",82,1.0,1.0,1.0
lung opacity,"[True, False, True]","[475, 1503, 629]",83,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, False, False]","[364, 2311, 133]",85,1.0,0.3333333333333333,1.0
lung opacity,"[False, True, True]","[1873, 1667, 866]",86,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1301, 1940, 579]",87,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2475, 1616, 2952]",88,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1969, 687, 37]",89,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, False]","[2796, 1979, 860]",90,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1645, 2217, 1725]",91,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2796, 246, 403]",93,1.0,1.0,1.0
lung opacity,"[True, True, True]","[597, 708, 1220]",94,1.0,1.0,1.0
lung opacity,"[False, True, False]","[1409, 2170, 1352]",95,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[1589, 1522, 1697]",96,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2502, 487, 2137]",97,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[3184, 1813, 2804]",98,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1988, 3044, 1898]",99,1.0,1.0,1.0
lung opacity,"[True, True, True]","[665, 2285, 1905]",100,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1574, 1543, 1068]",101,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1902, 2643, 2193]",105,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2949, 655, 1527]",106,1.0,1.0,1.0
lung opacity,"[True, True, True]","[708, 1911, 195]",108,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1790, 318, 1785]",109,1.0,1.0,1.0
lung opacity,"[True, True, False]","[364, 826, 2875]",110,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1704, 320, 214]",112,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2858, 401, 14]",113,1.0,1.0,1.0
lung opacity,"[True, True, True]","[844, 575, 1898]",115,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1356, 1486, 3112]",117,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3180, 208, 572]",118,1.0,1.0,1.0
lung opacity,"[True, True, True]","[470, 1867, 2653]",119,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2110, 734, 3164]",121,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1332, 2377, 2813]",122,1.0,1.0,1.0
lung opacity,"[False, True, True]","[348, 222, 2609]",123,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1662, 2351, 817]",124,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1793, 2913, 238]",125,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2491, 1223, 2233]",126,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1725, 1879, 540]",127,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1596, 1152, 1715]",129,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, False, True]","[2897, 1368, 489]",130,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[2411, 945, 420]",131,1.0,1.0,1.0
lung opacity,"[True, True, False]","[660, 2469, 616]",137,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1180, 1111, 3010]",138,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1824, 3126, 2271]",139,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, False, True]","[64, 1605, 463]",140,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2894, 2491, 81]",141,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2890, 587, 2689]",142,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1542, 1426, 99]",143,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3164, 1791, 3007]",144,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2960, 396, 1050]",146,1.0,1.0,1.0
lung opacity,"[True, True, True]","[391, 2584, 839]",148,1.0,1.0,1.0
lung opacity,"[True, True, True]","[989, 820, 1772]",149,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2154, 2288, 371]",150,1.0,1.0,1.0
lung opacity,"[True, True, True]","[320, 1255, 32]",153,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1450, 3053, 576]",155,1.0,1.0,1.0
lung opacity,"[True, True, True]","[229, 2243, 2271]",156,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1750, 684, 2075]",157,1.0,1.0,1.0
lung opacity,"[True, True, True]","[959, 1672, 2423]",158,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1275, 1943, 2390]",159,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2765, 323, 2572]",160,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1792, 2009, 989]",161,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[False, True, True]","[796, 2562, 31]",163,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[3165, 736, 2211]",164,1.0,1.0,1.0
lung opacity,"[True, True, True]","[27, 218, 2191]",165,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1248, 986, 1368]",166,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2758, 1052, 2336]",167,1.0,1.0,1.0
