+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                           Anatomy-Disease Distribution                                                                                          |
+--------------------------+--------------+------------------+-------------+-----------------------------+------------------------------+--------------+---------------+------------------------------+-----------+
|         Anatomy          | lung opacity | pleural effusion | atelectasis | enlarged cardiac silhouette | pulmonary edema/hazy opacity | pneumothorax | consolidation | fluid overload/heart failure | pneumonia |
+--------------------------+--------------+------------------+-------------+-----------------------------+------------------------------+--------------+---------------+------------------------------+-----------+
|        right lung        |     87.2     |       79.7       |     70.3    |             0.0             |             99.1             |     78.1     |      63.2     |            100.0             |    76.4   |
|    right apical zone     |     2.9      |       0.0        |     0.0     |             0.0             |             0.0              |     35.4     |      0.0      |             0.0              |    0.3    |
|  right upper lung zone   |     10.4     |       0.7        |     3.2     |             0.0             |             5.4              |     1.0      |      12.0     |             9.5              |    8.9    |
|   right mid lung zone    |     19.0     |       5.1        |     12.8    |             0.0             |             8.2              |     5.2      |      28.4     |             1.8              |    23.0   |
|  right lower lung zone   |     46.1     |       23.7       |     55.0    |             0.0             |             19.4             |     22.9     |      41.0     |             10.7             |    41.2   |
|  right hilar structures  |     48.1     |       0.0        |     3.3     |             0.0             |             99.3             |     0.0      |      8.1      |             17.8             |    10.4   |
| right costophrenic angle |     41.2     |       79.0       |     4.0     |             0.0             |             4.0              |     21.9     |      1.5      |             3.6              |    0.0    |
|        left lung         |     86.0     |       75.5       |     79.1    |             0.0             |             99.6             |     47.9     |      65.6     |            100.0             |    74.7   |
|     left apical zone     |     2.5      |       0.0        |     0.0     |             0.0             |             0.0              |     30.2     |      0.0      |             0.0              |    0.6    |
|   left upper lung zone   |     9.6      |       0.8        |     3.2     |             0.0             |             5.4              |     0.0      |      12.0     |             9.5              |    6.7    |
|    left mid lung zone    |     20.4     |       5.2        |     17.2    |             0.0             |             8.2              |     2.1      |      33.2     |             1.8              |    20.8   |
|   left lower lung zone   |     48.2     |       23.7       |     65.2    |             0.0             |             19.5             |     5.2      |      44.0     |             10.7             |    37.0   |
|  left hilar structures   |     47.7     |       0.0        |     2.7     |             0.0             |             99.6             |     0.0      |      7.5      |             17.8             |    10.0   |
| left costophrenic angle  |     39.3     |       75.2       |     3.5     |             0.0             |             4.0              |     7.3      |      2.4      |             3.6              |    0.0    |
|       mediastinum        |     0.0      |       0.0        |     0.0     |             0.0             |             0.0              |     0.0      |      0.0      |             0.0              |    0.0    |
|    upper mediastinum     |     0.0      |       0.0        |     0.0     |             0.0             |             0.0              |     0.0      |      0.0      |             0.0              |    0.0    |
|    cardiac silhouette    |     0.0      |       0.0        |     0.0     |            100.0            |             0.0              |     0.0      |      0.0      |            100.0             |    0.0    |
|         trachea          |     0.0      |       0.0        |     0.0     |             0.0             |             0.0              |     0.0      |      0.0      |             0.0              |    0.0    |
+--------------------------+--------------+------------------+-------------+-----------------------------+------------------------------+--------------+---------------+------------------------------+-----------+
